Phase 7: Image-Plane Trajectory

theta_1(t) = 30 + 20*sin(t)  [deg]
theta_2(t) = 45 + 15*sin(2t) [deg]
theta_3(t) = -20 + 10*cos(t) [deg]
Fixed cube center P_obj_G = [1.4, 0.6, 1.8] [m]
Tracked vertex: (+L/2, +L/2, +L/2)

Frame        t      u (px)      v (px)  In view
-------------------------------------------------------
    0   0.0000    276.0024    132.4629     True
   10   0.3157    191.4046    -12.3983    False
   20   0.6315    107.6251    -86.2234    False
   30   0.9472     51.9232    -33.2383    False
   40   1.2630     31.4277    122.4283     True
   50   1.5787     26.9942    318.3712     True
   60   1.8944     29.4407    511.0064    False
   70   2.2102     53.2474    647.7244    False
   80   2.5259    114.6448    661.0939    False
   90   2.8416    198.8374    550.5556    False
  100   3.1574    280.6222    388.3140     True
  110   3.4731    354.4344    236.2361     True
  120   3.7889    422.1252    134.7664     True
  130   4.1046    476.9857    115.7637     True
  140   4.4203    509.3412    180.0498     True
  150   4.7361    518.1034    288.9034     True
  160   5.0518    504.9372    389.3220     True
  170   5.3675    468.3863    430.7617     True
  180   5.6833    411.6574    385.8027     True
  190   5.9990    343.8003    268.8368     True

Frames in view: 141/200  (70.5%)
